feature,importance
risk_score_composite,0.30879053473472595
importer_risk_score,0.21207258105278015
anomaly_score,0.12894070148468018
iso_anomaly_score,0.1127140074968338
weight_diff_pct,0.07423780113458633
importer_past_critical_count,0.06632047146558762
exporter_risk_score,0.02685803361237049
dwell_zscore,0.012390965595841408
weight_discrepancy_signed_pct,0.012276834808290005
Dwell_Time_Hours,0.011147192679345608
hs_code_risk_score,0.008027569390833378
weight_diff_abs,0.005930147133767605
dwell_port_zscore,0.004747254773974419
value_per_kg,0.002825013594701886
hs_code_frequency,0.002772723790258169
value_to_weight_zscore,0.0022678999230265617
value_zscore,0.0020425443071871996
hs_chapter_risk_score,0.0012352396734058857
is_weekend,0.0010701955761760473
hs_chapter_int,0.0008852807804942131
value_per_kg_hs_zscore,0.0008255949942395091
origin_risk_score,0.0007173249614425004
shipping_line_risk_score,0.0005422522081062198
dest_risk_score,0.00036179187009111047
is_night_declaration,0.0
origin_risk_tier,0.0
is_transit,0.0
same_importer_exporter,0.0
